- inbalanced -------------------------------------------------------------------
0x7ffff0002350 {'malloc': 0, 'reallo': 1, 'free': 9, 'calloc': 0, 'realla': 0, 'idx': 5295}
0x7fffe40021d0 {'malloc': 0, 'reallo': 1, 'free': 2, 'calloc': 0, 'realla': 0, 'idx': 5309}
0x7fffdc0021d0 {'malloc': 0, 'reallo': 1, 'free': 2, 'calloc': 0, 'realla': 0, 'idx': 5564}
0x7fffc00021d0 {'malloc': 0, 'reallo': 1, 'free': 2, 'calloc': 0, 'realla': 0, 'idx': 5616}
0x7ffff0001b00 {'malloc': 0, 'reallo': 1, 'free': 4, 'calloc': 1, 'realla': 0, 'idx': 5732}
0x7fffc40021d0 {'malloc': 0, 'reallo': 1, 'free': 2, 'calloc': 0, 'realla': 0, 'idx': 5809}
0x7fffb80021d0 {'malloc': 0, 'reallo': 1, 'free': 2, 'calloc': 0, 'realla': 0, 'idx': 6054}
0x7fffd00021d0 {'malloc': 0, 'reallo': 1, 'free': 2, 'calloc': 0, 'realla': 0, 'idx': 6248}
0x7ffff0001330 {'malloc': 0, 'reallo': 0, 'free': 11, 'calloc': 4, 'realla': 0, 'idx': 6286}
0x7fffe8002350 {'malloc': 0, 'reallo': 1, 'free': 9, 'calloc': 0, 'realla': 0, 'idx': 6326}
0x7fffcc002350 {'malloc': 0, 'reallo': 1, 'free': 9, 'calloc': 0, 'realla': 0, 'idx': 6392}
0x7fffe4002350 {'malloc': 0, 'reallo': 1, 'free': 9, 'calloc': 0, 'realla': 0, 'idx': 6637}
0x7fffd8002350 {'malloc': 0, 'reallo': 1, 'free': 9, 'calloc': 0, 'realla': 0, 'idx': 6677}
0x7fffcc001b00 {'malloc': 0, 'reallo': 1, 'free': 4, 'calloc': 1, 'realla': 0, 'idx': 6704}
0x7fffc0002350 {'malloc': 0, 'reallo': 1, 'free': 9, 'calloc': 0, 'realla': 0, 'idx': 6834}
0x7fffe8001b00 {'malloc': 0, 'reallo': 1, 'free': 4, 'calloc': 1, 'realla': 0, 'idx': 6899}
0x7fffc4002350 {'malloc': 0, 'reallo': 1, 'free': 9, 'calloc': 0, 'realla': 0, 'idx': 7001}
0x7fffd8001b00 {'malloc': 0, 'reallo': 1, 'free': 4, 'calloc': 1, 'realla': 0, 'idx': 7067}
0x7fffdc002350 {'malloc': 0, 'reallo': 1, 'free': 9, 'calloc': 0, 'realla': 0, 'idx': 7208}
0x7fffe4001b00 {'malloc': 0, 'reallo': 1, 'free': 4, 'calloc': 1, 'realla': 0, 'idx': 7222}
0x7ffff00016d0 {'malloc': 0, 'reallo': 0, 'free': 13, 'calloc': 0, 'realla': 0, 'idx': 7239}
0x7ffff0001680 {'malloc': 0, 'reallo': 0, 'free': 11, 'calloc': 0, 'realla': 0, 'idx': 7310}
0x7fffc0001b00 {'malloc': 0, 'reallo': 1, 'free': 4, 'calloc': 1, 'realla': 0, 'idx': 7413}
0x7fffb8002350 {'malloc': 0, 'reallo': 1, 'free': 9, 'calloc': 0, 'realla': 0, 'idx': 7440}
0x7fffc4001b00 {'malloc': 0, 'reallo': 1, 'free': 4, 'calloc': 1, 'realla': 0, 'idx': 7467}
0x7fffcc001330 {'malloc': 0, 'reallo': 0, 'free': 11, 'calloc': 4, 'realla': 0, 'idx': 7585}
0x7ffff0001a70 {'malloc': 0, 'reallo': 0, 'free': 13, 'calloc': 0, 'realla': 0, 'idx': 7619}
0x7ffff0001a20 {'malloc': 0, 'reallo': 0, 'free': 11, 'calloc': 0, 'realla': 0, 'idx': 7692}
0x7fffd8001330 {'malloc': 0, 'reallo': 0, 'free': 11, 'calloc': 4, 'realla': 0, 'idx': 7704}
0x7fffe8001330 {'malloc': 0, 'reallo': 0, 'free': 11, 'calloc': 4, 'realla': 0, 'idx': 7742}
0x7fffd0002350 {'malloc': 0, 'reallo': 1, 'free': 9, 'calloc': 0, 'realla': 0, 'idx': 7894}
0x7ffff0001f90 {'malloc': 0, 'reallo': 0, 'free': 9, 'calloc': 0, 'realla': 0, 'idx': 7987}
0x7ffff0001f40 {'malloc': 0, 'reallo': 0, 'free': 11, 'calloc': 0, 'realla': 0, 'idx': 8084}
0x7fffe4001330 {'malloc': 0, 'reallo': 0, 'free': 11, 'calloc': 4, 'realla': 0, 'idx': 8160}
0x7fffc4001330 {'malloc': 0, 'reallo': 0, 'free': 11, 'calloc': 4, 'realla': 0, 'idx': 8172}
0x7fffb8001b00 {'malloc': 0, 'reallo': 1, 'free': 4, 'calloc': 1, 'realla': 0, 'idx': 8198}
0x7fffc0001330 {'malloc': 0, 'reallo': 0, 'free': 11, 'calloc': 4, 'realla': 0, 'idx': 8222}
0x7ffff0002000 {'malloc': 0, 'reallo': 0, 'free': 10, 'calloc': 4, 'realla': 0, 'idx': 8251}
0x7fffdc001b00 {'malloc': 0, 'reallo': 1, 'free': 4, 'calloc': 1, 'realla': 0, 'idx': 8329}
0x7fffd80016d0 {'malloc': 0, 'reallo': 0, 'free': 13, 'calloc': 0, 'realla': 0, 'idx': 8385}
0x7ffff0001fb0 {'malloc': 0, 'reallo': 0, 'free': 11, 'calloc': 0, 'realla': 0, 'idx': 8417}
0x7fffd8001680 {'malloc': 0, 'reallo': 0, 'free': 11, 'calloc': 0, 'realla': 0, 'idx': 8488}
0x7ffff00020d0 {'malloc': 0, 'reallo': 0, 'free': 9, 'calloc': 0, 'realla': 0, 'idx': 8543}
0x7fffd0001b00 {'malloc': 0, 'reallo': 1, 'free': 4, 'calloc': 1, 'realla': 0, 'idx': 8624}
0x7fffcc0016d0 {'malloc': 0, 'reallo': 0, 'free': 13, 'calloc': 0, 'realla': 0, 'idx': 8745}
0x7ffff0002070 {'malloc': 0, 'reallo': 0, 'free': 11, 'calloc': 0, 'realla': 0, 'idx': 8777}
0x7fffe80016d0 {'malloc': 0, 'reallo': 0, 'free': 13, 'calloc': 0, 'realla': 0, 'idx': 8794}
0x7ffff0002140 {'malloc': 0, 'reallo': 0, 'free': 23, 'calloc': 0, 'realla': 0, 'idx': 8860}
0x7fffd8001a70 {'malloc': 0, 'reallo': 0, 'free': 13, 'calloc': 0, 'realla': 0, 'idx': 8917}
0x7fffe8001680 {'malloc': 0, 'reallo': 0, 'free': 11, 'calloc': 0, 'realla': 0, 'idx': 8937}
0x7fffcc001680 {'malloc': 0, 'reallo': 0, 'free': 11, 'calloc': 0, 'realla': 0, 'idx': 8957}
0x7fffb8001330 {'malloc': 0, 'reallo': 0, 'free': 11, 'calloc': 4, 'realla': 0, 'idx': 8969}
0x7ffff00020f0 {'malloc': 0, 'reallo': 0, 'free': 11, 'calloc': 0, 'realla': 0, 'idx': 9001}
0x7ffff00021b0 {'malloc': 0, 'reallo': 0, 'free': 9, 'calloc': 0, 'realla': 0, 'idx': 9099}
0x7fffcc001a70 {'malloc': 0, 'reallo': 0, 'free': 13, 'calloc': 0, 'realla': 0, 'idx': 9133}
0x7fffc40016d0 {'malloc': 0, 'reallo': 0, 'free': 13, 'calloc': 0, 'realla': 0, 'idx': 9150}
0x7ffff0002160 {'malloc': 0, 'reallo': 0, 'free': 9, 'calloc': 0, 'realla': 0, 'idx': 9206}
0x7fffcc001a20 {'malloc': 0, 'reallo': 0, 'free': 11, 'calloc': 0, 'realla': 0, 'idx': 9274}
0x7ffff00022f0 {'malloc': 0, 'reallo': 0, 'free': 8, 'calloc': 0, 'realla': 0, 'idx': 9315}
0x7fffe8001a70 {'malloc': 0, 'reallo': 0, 'free': 13, 'calloc': 0, 'realla': 0, 'idx': 9349}
0x7fffe40016d0 {'malloc': 0, 'reallo': 0, 'free': 13, 'calloc': 0, 'realla': 0, 'idx': 9366}
0x7fffc4001680 {'malloc': 0, 'reallo': 0, 'free': 11, 'calloc': 0, 'realla': 0, 'idx': 9419}
0x7fffe8001a20 {'malloc': 0, 'reallo': 0, 'free': 11, 'calloc': 0, 'realla': 0, 'idx': 9443}
